Date,Control,Debit,Credit,Net
1/31/2025,K-819567,0.00,169.52,-169.52
1/31/2025,K-819567,0.00,94.52,-94.52
1/31/2025,K-819567,0.00,74.19,-74.19
1/31/2025,K-819567,0.00,44.15,-44.15
1/31/2025,K-819567,0.00,43.93,-43.93
1/31/2025,K-819567,0.00,187.87,-187.87
1/31/2025,K-819567,0.00,43.05,-43.05
1/31/2025,K-819567,0.00,228.18,-228.18
1/31/2025,K-819567,0.00,148.84,-148.84
1/31/2025,K-819567,0.00,9.00,-9.00
1/31/2025,K-819567,0.00,13.82,-13.82
1/31/2025,K-819567,0.00,31.75,-31.75
1/31/2025,K-819567,0.00,209.78,-209.78
1/31/2025,J-428899,0.00,"3,333.00","-3,333.00"
1/31/2025,J-430056,0.00,12.14,-12.14
,,,,
,,"997,535.69","872,647.29",
