Npostid    ,Transtype                     ,Postdate              ,Period   ,Billfrom              ,Billto                ,Market                                  ,Acct_no         ,Debit          ,Credit         ,Invoice                       ,Memo                                    ,Unit_id           ,Detail                                                                                                   ,Cosccurrid,Ncurrencyrate       ,Nbdebit        ,Nbcredit       ,Sysdate               
15977181,DEPOSIT                       ,2/25/2025 0:00,2025.02  ,2/25/2025 0:00,2/25/2025 0:00,AVE Florham Park                        , 012-0970       ,456.21,0,2.25 - Wire                   ,Deposit - Wire                          ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/25/2025 15:22
15977183,DEPOSIT                       ,2/25/2025 0:00,2025.02  ,2/25/2025 0:00,2/25/2025 0:00,AVE Florham Park                        , 012-0970       ,5890,0,2.25 - Wire                   ,Deposit - Wire - adp                    ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/25/2025 15:23
15979147,DEPOSIT                       ,2/26/2025 0:00,2025.02  ,2/26/2025 0:00,2/26/2025 0:00,AVE Florham Park                        , 012-0970       ,12740,0,2.26 - Wires                  ,Deposit - Wires - Sirva                 ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/26/2025 13:28
15979151,DEPOSIT                       ,2/26/2025 0:00,2025.02  ,2/26/2025 0:00,2/26/2025 0:00,AVE Florham Park                        , 012-0970       ,0,-5721.84,2.25 - CC                     ,Deposit - amex                          ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/26/2025 13:29
15979172,DEPOSIT                       ,2/26/2025 0:00,2025.02  ,2/26/2025 0:00,2/26/2025 0:00,AVE Florham Park                        , 012-0970       ,3316.7,0,2.25 - CC                     ,Deposit - VI                            ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/26/2025 13:30
15979176,DEPOSIT                       ,2/26/2025 0:00,2025.02  ,2/26/2025 0:00,2/26/2025 0:00,AVE Florham Park                        , 012-0970       ,6017.81,0,2.26 - ACH                    ,Deposit - ACH                           ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/26/2025 13:33
15979715,JENTRY                        ,2/26/2025 0:00,2025.02  ,1/1/1900 0:00,1/1/1900 0:00,AVE Florham Park                        , 012-0970       ,0,-20000,JY - Fund Oper 02/26/2025     ,Fund operating                          ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/26/2025 0:00
15981265,JENTRY                        ,2/27/2025 0:00,2025.02  ,1/1/1900 0:00,1/1/1900 0:00,AVE Florham Park                        , 012-0970       ,0,-25000,JY - Fund Oper 02/27/2025     ,Fund operating                          ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/27/2025 0:00
15984756,DEPOSIT                       ,2/28/2025 0:00,2025.02  ,2/28/2025 0:00,2/28/2025 0:00,AVE Florham Park                        , 012-0970       ,10894.92,0,2.27 - CC                     ,"Deposit - MC,  VI                       ",.NULL.            ,                                                                                                         ,          ,0,0,0,2/28/2025 13:44
15984764,DEPOSIT                       ,2/28/2025 0:00,2025.02  ,2/28/2025 0:00,2/28/2025 0:00,AVE Florham Park                        , 012-0970       ,1027.16,0,2.26 - CC                     ,Deposit - vi                            ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/28/2025 13:45
15984963,JENTRY                        ,2/28/2025 0:00,2025.02  ,1/1/1900 0:00,1/1/1900 0:00,AVE Florham Park                        , 012-0970       ,0,-4814.26,Transfer money to UNS from FPK,Transfer money to UNS from FPK          ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/28/2025 0:00
15985228,DEPOSIT                       ,2/28/2025 0:00,2025.02  ,2/28/2025 0:00,2/28/2025 0:00,AVE Florham Park                        , 012-0970       ,5885,0,2.28 - Wire                   ,Deposit - Wire - Pharmacosmos           ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/28/2025 15:42
16002432,JENTRY                        ,2/28/2025 0:00,2025.02  ,1/1/1900 0:00,1/1/1900 0:00,AVE Florham Park                        , 012-0970       ,0.01,0,JY - FPK Bank Rec item        ,Bank fee                                ,.NULL.            ,                                                                                                         ,          ,0,0,0,3/13/2025 0:00
16002432,JENTRY                        ,2/28/2025 0:00,2025.02  ,1/1/1900 0:00,1/1/1900 0:00,AVE Florham Park                        , 012-0970       ,0,-0.01,JY - FPK Bank Rec item        ,Bank fee                                ,.NULL.            ,                                                                                                         ,          ,0,0,0,3/13/2025 0:00
