Date,Control,Debit,Credit,Net
1/1/2025,R-1567587,10.73,0.00,10.73
1/1/2025,R-1567587,"3,339.00",0.00,"3,339.00"
1/1/2025,R-1567587,7.08,0.00,7.08
1/1/2025,R-1567587,3.63,0.00,3.63
1/1/2025,R-1567587,6.70,0.00,6.70
1/1/2025,R-1567587,30.63,0.00,30.63
1/1/2025,R-1567587,5.00,0.00,5.00
1/1/2025,R-1567587,1.74,0.00,1.74
1/1/2025,R-1567588,55.00,0.00,55.00
1/1/2025,R-1567588,45.42,0.00,45.42
1/1/2025,R-1567588,22.41,0.00,22.41
1/1/2025,R-1567588,75.00,0.00,75.00
1/1/2025,R-1567588,3.63,0.00,3.63
1/1/2025,R-1567588,1.74,0.00,1.74
1/1/2025,R-1567588,10.73,0.00,10.73
1/1/2025,R-1567588,"3,233.00",0.00,"3,233.00"
1/1/2025,R-1567588,25.49,0.00,25.49
1/1/2025,R-1567588,20.00,0.00,20.00
1/1/2025,R-1567588,5.00,0.00,5.00
1/1/2025,R-1567589,75.00,0.00,75.00
1/1/2025,R-1567589,62.69,0.00,62.69
1/1/2025,R-1567589,1.74,0.00,1.74
1/1/2025,R-1567589,150.00,0.00,150.00
1/1/2025,R-1567589,20.00,0.00,20.00
1/1/2025,R-1567589,"4,150.00",0.00,"4,150.00"
1/1/2025,R-1567589,5.00,0.00,5.00
1/1/2025,R-1567589,21.73,0.00,21.73
1/1/2025,R-1567589,40.00,0.00,40.00
1/1/2025,R-1567589,3.63,0.00,3.63
1/1/2025,R-1567589,24.00,0.00,24.00
1/1/2025,R-1567589,10.73,0.00,10.73
1/1/2025,R-1567589,24.66,0.00,24.66
1/1/2025,R-1567590,20.00,0.00,20.00
1/1/2025,R-1567590,75.00,0.00,75.00
1/1/2025,R-1567590,"3,353.00",0.00,"3,353.00"
1/1/2025,R-1567591,10.73,0.00,10.73
1/1/2025,R-1567591,31.35,0.00,31.35
1/1/2025,R-1567591,3.63,0.00,3.63
